overall,potential,age,league_id,league_name,club_team_id,club_name,value_eur,nationality_id,nationality_name,preferred_foot,club_jersey_number,Goalkeeper,Defense,Midfield,Attack
-2.0231370013630587,-1.7423161607285433,19,4,Pro League,229,RSC Anderlecht,230000,129,Morocco,1,78,0,0,1,0
-1.496644505606748,0.46575351515328306,18,10,Eredivisie,1913,SC Heerenveen,550000,110,Congo DR,1,36,0,0,1,1
-1.1017751337895152,-1.2691583730395806,24,350,Pro League,111674,Al Shabab,525000,183,Saudi Arabia,0,21,0,0,1,1
-1.1017751337895152,-0.0074042725356797704,19,308,Primeira Liga,1887,Vitória SC,775000,38,Portugal,0,14,0,0,1,1
-1.496644505606748,-0.4805620602246426,20,10,Eredivisie,1913,SC Heerenveen,500000,92,Suriname,1,33,0,0,1,1
0.47770235347941653,-0.32284279766165497,31,13,Premier League,13,Newcastle United,2100000,14,England,1,6,0,1,0,0
-0.3120363901550493,0.15031499002730783,22,16,Ligue 1,217,FC Lorient,2100000,117,Ghana,1,32,0,1,0,0
-1.496644505606748,-0.9537198479136054,21,80,Bundesliga,110720,Blau-Weiß Linz,450000,4,Austria,1,7,0,0,0,1
-0.44365951409412696,0.15031499002730783,20,308,Primeira Liga,234,SL Benfica,1800000,95,United States,1,66,0,1,0,0
-0.8385288859113599,-1.900035423291531,29,68,Süper Lig,101032,Kocaelispor,475000,48,Türkiye,1,11,0,0,0,1
-1.2333982577285927,0.7811920402792583,19,10,Eredivisie,1914,PEC Zwolle,700000,37,Poland,0,19,0,0,1,1
0.47770235347941653,-0.32284279766165497,28,13,Premier League,1796,Burnley,2600000,14,England,1,4,0,1,0,0
-0.5752826380332046,-0.4805620602246426,25,68,Süper Lig,101026,Göztepe SK,1300000,48,Türkiye,1,23,0,1,0,0
-1.1017751337895152,-0.4805620602246426,22,350,Pro League,112387,Al Ahli SFC,700000,183,Saudi Arabia,1,29,0,1,1,0
-0.048790142276894044,-0.9537198479136054,35,308,Primeira Liga,112516,CD Tondela,375000,38,Portugal,1,5,0,1,0,0
-2.0231370013630587,-1.4268776356025683,20,350,Pro League,113057,Al Fayha,250000,183,Saudi Arabia,1,55,0,0,1,0
